group,var,Not online,"Uses internet, not on Facebook",Facebook user
Wealth,0,0.69,0.02,0.29
Wealth,5,0.24,0.06,0.7
Wealth,10,0.03960396,0.099009901,0.861386139
Education,Среднее или ниже,0.26,0.07,0.67
Education,Специальное,0.212121212,0.060606061,0.727272727
Education,Высшее,0.08,0.07,0.85
Sex,Мужской,0.2,0.09,0.71
Sex,Женский,0.17,0.05,0.78
Age,20,0.02,0.03,0.95
Age,30,0.04,0.05,0.91
Age,40,0.11,0.06,0.83
Age,50,0.252525253,0.070707071,0.676767677
Age,60,0.46,0.07,0.47
Age,80,0.84,0.04,0.12
Settlement type,Тбилиси,0.12,0.1,0.78
Settlement type,Другие города,0.178217822,0.01980198,0.801980198
Settlement type,Сельская местность,0.26,0.09,0.65
