label,group,Очень хорошая,Хорошая,Нормальная,Плохая,Очень плохая,Не знаю
Премьер-министр,COVID-19 Монитор,24.749,40.538,19.858,6.061,1.751,7.043
Премьер-министр,NDI ноябрь/декабрь 2019,4.000,17.000,34.000,24.000,10.000,11.000
Президент,COVID-19 Монитор,4.035,21.048,29.161,14.573,10.145,21.038
Президент,NDI ноябрь/декабрь 2019,1.000,8.000,31.000,34.000,20.000,6.000
Парламент,COVID-19 Монитор,6.003,24.386,34.351,13.574,5.956,15.730
Парламент,NDI ноябрь/декабрь 2019,1.000,8.000,27.000,40.000,17.000,6.000
Полиция,COVID-19 Монитор,17.146,51.548,19.526,3.341,1.124,7.314
Полиция,NDI ноябрь/декабрь 2019,6.000,37.000,35.000,15.000,4.000,3.000
Церковь,COVID-19 Монитор,23.920,42.284,16.111,5.474,2.006,10.204
Церковь,NDI ноябрь/декабрь 2019,13.000,37.000,25.000,10.000,2.000,12.000
